test_name	exit_code	elapsed_us
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_existing_var_no_init_js	0	5290
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_skip_early_err_for_js	0	7547
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_skip_early_err_for_js	0	5481
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_skip_early_err_for_in_js	0	5830
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_skip_early_err_for_of_js	0	5937
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_skip_early_err_switch_js	0	9638
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_existing_fn_update_js	0	5744
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_existing_block_fn_no_init_js	0	5664
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_existing_block_fn_update_js	0	6231
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_skip_early_err_for_js	0	9077
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_existing_global_init_js	0	41356
annexB_language_eval_code_direct_global_block_decl_eval_global_init_js	0	34352
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_skip_early_err_try_js	0	9412
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_block_scoping_js	0	10391
annexB_language_eval_code_direct_global_block_decl_eval_global_existing_global_update_js	0	10137
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_existing_global_init_js	0	77570
annexB_language_eval_code_direct_global_block_decl_eval_global_existing_var_no_init_js	0	7460
annexB_language_eval_code_direct_global_block_decl_eval_global_skip_early_err_for_in_js	0	8473
annexB_language_eval_code_direct_global_block_decl_eval_global_skip_early_err_block_js	0	8847
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_block_scoping_js	0	9585
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_existing_non_enumerable_global_init_js	0	42114
annexB_language_eval_code_direct_global_block_decl_eval_global_existing_fn_update_js	0	8522
annexB_language_eval_code_direct_global_block_decl_eval_global_skip_early_err_try_js	0	10978
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_existing_fn_no_init_js	0	11722
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_existing_fn_no_init_js	0	8029
annexB_language_eval_code_direct_global_block_decl_eval_global_skip_early_err_for_js	0	10574
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_existing_block_fn_update_js	0	7837
annexB_language_eval_code_direct_global_block_decl_eval_global_existing_fn_no_init_js	0	8425
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_existing_fn_update_js	0	8634
annexB_language_eval_code_direct_global_block_decl_eval_global_update_js	0	8504
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_existing_var_update_js	0	12775
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_skip_early_err_block_js	0	10785
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_skip_early_err_for_of_js	0	9876
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_existing_var_update_js	0	9092
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_skip_early_err_block_js	0	12680
