test_name	exit_code	rss_before_kb	rss_after_kb	rss_delta_kb
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_skip_early_err_js	0	240320	241536	1216
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_no_skip_try_js	0	232272	233184	912
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_var_no_init_js	0	225168	226160	992
annexB_language_eval_code_direct_script_decl_lex_no_collision_js	0	88416	90128	1712
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_fn_update_js	0	189504	196656	7152
annexB_language_eval_code_indirect_global_block_decl_eval_global_block_scoping_js	0	102576	104048	1472
annexB_language_eval_code_indirect_global_block_decl_eval_global_existing_fn_update_js	0	107712	114960	7248
annexB_language_eval_code_indirect_global_block_decl_eval_global_existing_block_fn_no_init_js	0	104048	105296	1248
annexB_language_eval_code_indirect_global_block_decl_eval_global_existing_block_fn_update_js	0	105296	106576	1280
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_skip_early_err_for_of_js	0	235456	236752	1296
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_block_fn_update_js	0	186944	188144	1200
annexB_language_eval_code_direct_global_switch_dflt_eval_global_skip_early_err_for_js	0	64512	71840	7328
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_block_scoping_js	0	178576	179840	1264
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_block_fn_no_init_js	0	179840	186944	7104
annexB_language_eval_code_direct_global_switch_dflt_eval_global_skip_early_err_for_in_js	0	44560	57424	12864
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_global_init_js	0	196656	207840	11184
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_init_js	0	227088	232272	5184
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_skip_early_err_try_js	0	239152	240320	1168
annexB_language_eval_code_indirect_global_block_decl_eval_global_skip_early_err_js	0	176192	177264	1072
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_skip_early_err_block_js	0	233184	234160	976
annexB_language_eval_code_direct_global_switch_case_eval_global_skip_early_err_for_of_js	0	165600	166672	1072
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_existing_var_no_init_js	0	92896	93840	944
annexB_language_eval_code_direct_global_switch_case_eval_global_skip_early_err_js	0	170400	171552	1152
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_skip_early_err_for_in_js	0	113888	114848	960
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_skip_early_err_block_js	0	112832	113888	1056
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_skip_early_err_for_js	0	115968	117184	1216
annexB_language_eval_code_direct_global_switch_dflt_eval_global_existing_fn_update_js	0	177664	178944	1280
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_existing_non_enumerable_global_init_js	0	88224	92896	4672
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_skip_early_err_try_js	0	118272	125488	7216
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_non_enumerable_global_init_js	0	139280	144128	4848
annexB_language_eval_code_direct_global_switch_case_eval_global_block_scoping_js	0	127840	128752	912
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_fn_no_init_js	0	130784	131968	1184
annexB_language_eval_code_direct_global_switch_dflt_eval_global_existing_var_no_init_js	0	190304	191152	848
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_global_init_js	0	133200	138080	4880
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_block_fn_update_js	0	129824	130784	960
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_var_no_init_js	0	144128	144944	816
annexB_language_eval_code_direct_global_switch_case_eval_global_no_skip_try_js	0	156208	157344	1136
annexB_language_eval_code_direct_global_switch_case_eval_global_skip_early_err_block_js	0	157344	164368	7024
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_existing_fn_no_init_js	0	44128	57200	13072
annexB_language_eval_code_direct_global_switch_dflt_eval_global_skip_early_err_block_js	0	197136	198064	928
annexB_language_eval_code_direct_global_switch_dflt_eval_global_existing_var_update_js	0	191152	192144	992
annexB_language_eval_code_direct_global_switch_case_eval_global_skip_early_err_for_js	0	166672	167904	1232
annexB_language_eval_code_direct_global_switch_case_eval_global_update_js	0	171552	172768	1216
annexB_language_eval_code_direct_global_switch_dflt_eval_global_existing_block_fn_no_init_js	0	174000	175232	1232
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_skip_early_err_for_js	0	128288	129472	1184
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_init_js	0	120304	124240	3936
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_skip_early_err_for_of_js	0	57968	64992	7024
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_skip_early_err_switch_js	0	71664	72704	1040
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_skip_early_err_js	0	131728	132832	1104
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_block_fn_update_js	0	84928	86160	1232
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_no_skip_try_js	0	157216	158096	880
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_skip_early_err_try_js	0	72704	73840	1136
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_fn_no_init_js	0	86160	93184	7024
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_fn_update_js	0	93184	94448	1264
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_block_fn_no_init_js	0	83664	84928	1264
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_skip_early_err_switch_js	0	129472	130592	1120
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_global_init_js	0	94448	100048	5600
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_update_js	0	132832	134160	1328
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_block_scoping_js	0	76416	83664	7248
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_var_no_init_js	0	112576	119360	6784
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_no_skip_try_js	0	124240	125232	992
