test_name	exit_code	elapsed_us
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_fn_update_js	0	19633
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_block_fn_no_init_js	0	17875
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_skip_early_err_switch_js	0	19495
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_global_init_js	0	49942
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_update_js	0	16939
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_block_scoping_js	0	18149
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_var_no_init_js	0	17752
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_no_skip_try_js	0	17585
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_skip_early_err_for_in_js	0	16852
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_block_scoping_js	0	16228
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_skip_early_err_block_js	0	16342
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_existing_non_enumerable_global_init_js	0	42490
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_existing_var_no_init_js	0	15215
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_skip_early_err_for_js	0	19002
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_skip_early_err_for_js	0	16370
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_skip_early_err_for_in_js	0	16116
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_skip_early_err_for_of_js	0	16512
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_skip_early_err_switch_js	0	15246
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_existing_fn_update_js	0	40985
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_existing_block_fn_no_init_js	0	15539
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_existing_block_fn_update_js	0	14583
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_skip_early_err_for_js	0	15778
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_existing_global_init_js	0	37342
annexB_language_eval_code_direct_global_block_decl_eval_global_init_js	0	108395
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_skip_early_err_try_js	0	15711
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_block_scoping_js	0	16315
annexB_language_eval_code_direct_global_block_decl_eval_global_existing_global_update_js	0	22174
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_existing_global_init_js	0	60383
annexB_language_eval_code_direct_global_block_decl_eval_global_existing_var_no_init_js	0	17361
